Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-10-10,186.0,190.9499969482422,185.0500030517578,188.75,35670907,0,0
2018-10-11,180.64999389648438,187.75,178.0,182.9499969482422,19323517,0,0
2018-10-12,185.9499969482422,188.39999389648438,182.60000610351562,183.75,18014894,0,0
2018-10-15,186.5,186.5,182.6999969482422,184.35000610351562,11658409,0,0
2018-10-16,185.1999969482422,187.25,184.5500030517578,185.85000610351562,9695745,0,0
2018-10-17,187.60000610351562,187.8000030517578,179.10000610351562,179.9499969482422,12004524,0,0
2018-10-19,178.9499969482422,179.75,174.0,174.6999969482422,10469358,0,0
2018-10-22,176.39999389648438,176.85000610351562,170.0500030517578,170.75,11721075,0,0
2018-10-23,170.0,175.6999969482422,169.5500030517578,170.64999389648438,15588511,0,0
2018-10-24,173.89999389648438,175.0,169.0,170.64999389648438,15421903,0,0
2018-10-25,168.9499969482422,169.75,164.60000610351562,165.35000610351562,14877057,0,0
2018-10-26,166.0,172.8000030517578,165.89999389648438,168.5,19584723,0,0
2018-10-29,169.9499969482422,176.5,167.6999969482422,175.35000610351562,14171750,0,0
2018-10-30,177.0,181.5,176.0500030517578,177.25,15602414,0,0
2018-10-31,178.3000030517578,180.0,173.4499969482422,179.10000610351562,12579712,0,0
2018-11-01,182.0,186.0500030517578,178.1999969482422,179.4499969482422,28947802,0,0
2018-11-02,180.9499969482422,191.85000610351562,180.89999389648438,190.3000030517578,29425248,0,0
2018-11-05,191.3000030517578,191.3000030517578,186.64999389648438,189.8000030517578,14818506,0,0
2018-11-06,192.4499969482422,199.9499969482422,191.75,193.25,35339222,0,0
2018-11-07,194.9499969482422,195.75,193.35000610351562,194.85000610351562,3932893,0,0
2018-11-09,192.89999389648438,200.75,192.0,195.25,22341961,0,0
2018-11-12,194.4499969482422,194.4499969482422,185.1999969482422,186.0500030517578,20789180,0,0
2018-11-13,180.75,183.0,178.35000610351562,179.5,22189598,0,0
2018-11-14,180.5,183.0,176.25,176.8000030517578,15795883,0,0
2018-11-15,178.0,182.6999969482422,177.5,180.1999969482422,18740276,0,0
2018-11-16,180.89999389648438,181.85000610351562,177.85000610351562,179.89999389648438,10022823,0,0
2018-11-19,180.60000610351562,185.5,179.10000610351562,184.60000610351562,14522581,0,0
2018-11-20,184.0500030517578,188.3000030517578,183.1999969482422,183.75,13114982,0,0
2018-11-21,184.39999389648438,186.75,183.75,184.14999389648438,8097107,0,0
2018-11-22,185.5,186.14999389648438,181.75,182.5500030517578,9135857,0,0
2018-11-26,183.89999389648438,184.4499969482422,177.0,181.75,9865426,0,0
2018-11-27,181.6999969482422,184.5500030517578,178.5500030517578,180.0500030517578,11639680,0,0
2018-11-28,181.0,181.35000610351562,174.0,174.4499969482422,12504717,0,0
2018-11-29,175.9499969482422,179.35000610351562,173.4499969482422,177.25,20892744,0,0
2018-11-30,172.0,174.89999389648438,170.35000610351562,171.9499969482422,18393012,0,0
2018-12-03,173.25,176.4499969482422,170.0,175.4499969482422,14068885,0,0
2018-12-04,177.9499969482422,178.75,175.3000030517578,175.75,11481923,0,0
2018-12-05,173.0,173.0,168.60000610351562,169.1999969482422,14960527,0,0
2018-12-06,168.5,168.6999969482422,161.60000610351562,162.64999389648438,15428019,0,0
2018-12-07,162.25,164.1999969482422,160.8000030517578,162.39999389648438,13545006,0,0
2018-12-10,159.89999389648438,160.5,156.5,157.10000610351562,13520495,0,0
2018-12-11,155.0,159.5,154.64999389648438,158.10000610351562,12094881,0,0
2018-12-12,159.5,167.10000610351562,158.0,164.10000610351562,22461175,0,0
2018-12-13,166.0,168.0,165.5500030517578,166.85000610351562,12235499,0,0
2018-12-14,166.0,168.39999389648438,164.85000610351562,166.9499969482422,10091732,0,0
